stagingArea	sender	vehicleType	c_ijv
a2	s053	v20	2598
a2	s054	v00	1407
a2	s054	v20	2720
a2	s055	v00	1158
a2	s055	v20	2238
a2	s056	v00	1095
a2	s056	v20	2117
a2	s057	v00	1093
a2	s057	v20	2113
a2	s058	v00	626
a2	s058	v20	1210
a2	s059	v00	599
a2	s059	v20	1158
a2	s060	v00	557
a2	s060	v20	1077
a2	s061	v00	624
a2	s061	v20	1207
a2	s062	v00	624
a2	s062	v20	1207
a2	s063	v00	687
a2	s063	v20	1328
a2	s064	v00	597
a2	s064	v20	1154
a2	s065	v00	750
a2	s065	v20	1450
a2	s066	v00	612
a2	s066	v20	1185
a2	s067	v00	643
a2	s067	v20	1243
a2	s068	v00	609
a2	s068	v20	1177
a2	s069	v00	690
a2	s069	v20	1334
a2	s070	v00	624
a2	s070	v20	1207
a2	s071	v00	597
a2	s071	v20	1154
a2	s072	v00	615
a2	s072	v20	1190
a2	s073	v00	546
a2	s073	v20	1056
a2	s074	v00	624
a2	s074	v20	1207
a2	s075	v00	646
a2	s075	v20	1249
a2	s076	v00	592
a2	s076	v20	1144
a2	s077	v00	691
a2	s077	v20	1336
a2	s078	v00	563
a2	s078	v20	1088
a2	s079	v00	552
a2	s079	v20	1068
a2	s080	v00	615
a2	s080	v20	1189
a2	s081	v00	624
a2	s081	v20	1208
a2	s082	v00	568
a2	s082	v20	1099
a2	s083	v00	547
a2	s083	v20	1057
a2	s084	v00	624
a2	s084	v20	1207
a2	s085	v00	662
a2	s085	v20	1281
a2	s086	v00	680
a2	s086	v20	1316
a2	s087	v00	728
a2	s087	v20	1407
a2	s088	v00	617
a2	s088	v20	1193
a2	s089	v00	587
a2	s089	v20	1136
a2	s090	v00	552
a2	s090	v20	1068
a2	s091	v00	549
a2	s091	v20	1062
a2	s092	v00	614
a2	s092	v20	1187
a2	s094	v00	561
a2	s094	v20	1085
a2	s095	v00	557
a2	s095	v20	1077
a2	s096	v00	497
a2	s096	v20	961
a2	s097	v00	530
a2	s097	v20	1025
a2	s098	v00	465
a2	s098	v20	900
a2	s099	v00	371
a2	s099	v20	717
a2	s100	v00	555
a2	s100	v20	1074
a2	s101	v00	544
a2	s101	v20	1051
a2	s102	v00	499
a2	s102	v20	965
a2	s103	v00	504
a2	s103	v20	975
a2	s104	v00	524
a2	s104	v20	1014
a2	s105	v00	163
a2	s105	v20	315
a2	s106	v00	542
a2	s106	v20	1048
a2	s108	v00	522
a2	s108	v20	1009
a2	s109	v00	348
a2	s109	v20	674
a2	s110	v00	573
a2	s110	v20	1108
a2	s111	v00	545
a2	s111	v20	1055
a2	s112	v00	654
a2	s112	v20	1265
a2	s114	v00	467
a2	s114	v20	903
a2	s117	v00	549
a2	s117	v20	1062
a2	s118	v00	512
a2	s118	v20	991
a2	s119	v00	394
a2	s119	v20	762
a2	s120	v00	513
a2	s120	v20	991
a2	s121	v00	513
a2	s121	v20	993
a2	s122	v00	515
a2	s122	v20	996
a2	s123	v00	505
a2	s123	v20	977
a2	s124	v00	507
a2	s124	v20	981
a2	s127	v00	362
a2	s127	v20	701
a2	s130	v00	225
a2	s130	v20	436
a2	s131	v00	467
a2	s131	v20	904
a2	s132	v00	545
a2	s132	v20	1055
a2	s133	v00	460
a2	s133	v20	891
a2	s134	v00	574
a2	s134	v20	1111
a2	s135	v00	482
a2	s135	v20	931
a2	s138	v00	732
a2	s138	v20	1415
a2	s139	v00	326
a2	s139	v20	631
a2	s141	v00	417
a2	s141	v20	806
a2	s142	v00	449
a2	s142	v20	868
a2	s144	v00	507
a2	s144	v20	982
a2	s145	v00	586
a2	s145	v20	1133
a2	s147	v00	503
a2	s147	v20	974
a2	s149	v00	406
a2	s149	v20	785
a2	s150	v00	493
a2	s150	v20	954
a2	s153	v00	442
a2	s153	v20	856
a2	s154	v00	552
a2	s154	v20	1068
a2	s155	v00	551
a2	s155	v20	1066
a2	s156	v00	213
a2	s156	v20	413
a2	s157	v00	459
a2	s157	v20	889
a2	s158	v00	516
a2	s158	v20	997
a2	s159	v00	551
a2	s159	v20	1066
a2	s160	v00	428
a2	s160	v20	827
a2	s161	v00	342
a2	s161	v20	662
a2	s162	v00	449
a2	s162	v20	868
a2	s164	v00	572
a2	s164	v20	1105
a2	s165	v00	741
a2	s165	v20	1433
a2	s167	v00	545
a2	s167	v20	1054
a2	s169	v00	417
a2	s169	v20	806
a2	s170	v00	442
a2	s170	v20	854
a2	s171	v00	371
a2	s171	v20	717
a2	s173	v00	307
a2	s173	v20	593
a2	s174	v00	526
a2	s174	v20	1018
a2	s175	v00	541
a2	s175	v20	1047
a2	s176	v00	442
a2	s176	v20	856
a2	s179	v00	449
a2	s179	v20	869
a2	s181	v00	458
a2	s181	v20	886
a2	s182	v00	514
a2	s182	v20	994
a2	s183	v00	608
a2	s183	v20	1176
a2	s184	v00	547
a2	s184	v20	1059
a2	s186	v00	442
a2	s186	v20	856
a2	s187	v00	381
a2	s187	v20	736
a2	s188	v00	475
a2	s188	v20	919
a2	s189	v00	508
a2	s189	v20	983
a2	s190	v00	362
a2	s190	v20	700
a2	s192	v00	508
a2	s192	v20	983
a2	s195	v00	475
a2	s195	v20	918
a2	s196	v00	389
a2	s196	v20	753
a2	s204	v00	490
a2	s204	v20	948
a2	s205	v00	505
a2	s205	v20	977
a2	s207	v00	516
a2	s207	v20	997
a2	s209	v00	582
a2	s209	v20	1126
a2	s210	v00	277
a2	s210	v20	536
a2	s213	v00	1334
a2	s213	v20	2579
a2	s214	v00	1334
a2	s214	v20	2580
a2	s215	v00	210
a2	s215	v20	407
a2	s216	v00	215
a2	s216	v20	417
a2	s217	v00	155
a2	s217	v20	301
a2	s218	v00	56
a2	s218	v20	108
a2	s219	v00	155
a2	s219	v20	300
a2	s220	v00	48
a2	s220	v20	93
a2	s221	v00	197
a2	s221	v20	380
a2	s222	v00	48
a2	s222	v20	94
a2	s223	v00	67
a2	s223	v20	130
a2	s224	v00	48
a2	s224	v20	94
a2	s225	v00	197
a2	s225	v20	381
a2	s226	v00	79
a2	s226	v20	153
a2	s227	v00	218
a2	s227	v20	421
a2	s228	v00	45
a2	s228	v20	87
a2	s229	v00	49
a2	s229	v20	95
a2	s230	v00	155
a2	s230	v20	300
a2	s231	v00	65
a2	s231	v20	126
a2	s232	v00	1073
a2	s232	v20	2075
a2	s233	v00	1074
a2	s233	v20	2077
a2	s234	v00	1066
a2	s234	v20	2061
a2	s238	v00	1038
a2	s238	v20	2008
a2	s244	v00	1202
a2	s244	v20	2325
a2	s247	v00	664
a2	s247	v20	1284
a2	s249	v00	1202
a2	s249	v20	2324
a2	s252	v00	667
a2	s252	v20	1290
a2	s254	v00	672
a2	s254	v20	1299
a2	s256	v00	1197
a2	s256	v20	2316
a2	s257	v00	695
a2	s257	v20	1344
a2	s264	v00	1002
a2	s264	v20	1938
a2	s266	v00	664
a2	s266	v20	1284
a2	s268	v00	774
a2	s268	v20	1497
a2	s271	v00	831
a2	s271	v20	1607
a2	s272	v00	949
a2	s272	v20	1836
a2	s278	v00	1110
a2	s278	v20	2146
a2	s289	v00	1083
a2	s289	v20	2095
a2	s291	v00	1093
a2	s291	v20	2113
a2	s293	v00	1106
a2	s293	v20	2138
a2	s296	v00	1093
a2	s296	v20	2113
a2	s302	v00	765
a2	s302	v20	1479
a2	s303	v00	765
a2	s303	v20	1479
a2	s305	v00	1345
a2	s305	v20	2600
a2	s306	v00	1423
a2	s306	v20	2751
a2	s307	v00	1365
a2	s307	v20	2640
a2	s308	v00	1360
a2	s308	v20	2629
a2	s309	v00	1231
a2	s309	v20	2381
a2	s310	v00	1175
a2	s310	v20	2271
a2	s311	v00	1344
a2	s311	v20	2599
a2	s312	v00	1420
a2	s312	v20	2746
a2	s313	v00	602
a2	s313	v20	1164
a3	s001	v00	198
a3	s001	v20	383
a3	s002	v00	188
a3	s002	v20	363
a3	s003	v00	137
a3	s003	v20	266
a3	s004	v00	182
a3	s004	v20	353
a3	s005	v00	252
a3	s005	v20	488
a3	s006	v00	183
a3	s006	v20	354
a3	s007	v00	236
a3	s007	v20	456
a3	s008	v00	202
a3	s008	v20	390
a3	s010	v00	399
a3	s010	v20	773
a3	s013	v00	502
a3	s013	v20	971
a3	s015	v00	234
a3	s015	v20	453
a3	s018	v00	197
a3	s018	v20	382
a3	s019	v00	497
a3	s019	v20	962
a3	s020	v00	203
a3	s020	v20	393
a3	s021	v00	222
a3	s021	v20	431
a3	s022	v00	194
a3	s022	v20	376
a3	s024	v00	365
a3	s024	v20	707
a3	s025	v00	160
a3	s025	v20	309
a3	s026	v00	195
a3	s026	v20	378
a3	s027	v00	273
a3	s027	v20	529
a3	s029	v00	146
a3	s029	v20	283
a3	s030	v00	207
a3	s030	v20	401
a3	s031	v00	82
a3	s031	v20	158
a3	s032	v00	497
a3	s032	v20	961
a3	s034	v00	496
a3	s034	v20	959
a3	s035	v00	205
a3	s035	v20	397
a3	s036	v00	218
a3	s036	v20	421
a3	s039	v00	465
a3	s039	v20	900
a3	s040	v00	395
a3	s040	v20	764
a3	s043	v00	285
a3	s043	v20	551
a3	s044	v00	765
a3	s044	v20	1480
a3	s049	v00	894
a3	s049	v20	1729
a3	s051	v00	895
a3	s051	v20	1731
a3	s053	v00	1469
a3	s053	v20	2840
a3	s054	v00	1525
a3	s054	v20	2948
a3	s055	v00	1341
a3	s055	v20	2594
a3	s056	v00	848
a3	s056	v20	1639
a3	s057	v00	845
a3	s057	v20	1635
a3	s058	v00	190
a3	s058	v20	368
a3	s059	v00	161
a3	s059	v20	312
a3	s060	v00	114
a3	s060	v20	221
a3	s061	v00	199
a3	s061	v20	385
a3	s062	v00	199
a3	s062	v20	385
a3	s063	v00	251
a3	s063	v20	486
a3	s064	v00	157
a3	s064	v20	305
a3	s065	v00	318
a3	s065	v20	615
a3	s066	v00	171
a3	s066	v20	331
a3	s067	v00	201
a3	s067	v20	390
a3	s068	v00	175
a3	s068	v20	338
a3	s069	v00	257
a3	s069	v20	498
a3	s070	v00	199
a3	s070	v20	386
a3	s071	v00	158
a3	s071	v20	305
a3	s072	v00	185
a3	s072	v20	358
a3	s073	v00	137
a3	s073	v20	266
a3	s074	v00	199
a3	s074	v20	385
a3	s075	v00	220
a3	s075	v20	427
a3	s076	v00	153
a3	s076	v20	296
a3	s077	v00	248
a3	s077	v20	480
a3	s078	v00	121
a3	s078	v20	235
a3	s079	v00	111
a3	s079	v20	214
a3	s080	v00	173
a3	s080	v20	335
a3	s081	v00	199
a3	s081	v20	386
a3	s082	v00	128
