,ID,NID,LATITUDE,LONGITUDE,TYPE,BEDS,CATEGORY0,HUC6,HAND,DEM,CATCHID,ZONE,CATEGORY,25-1,25-2,25-3,25-4,25-5,25-6,25-7,25-8,25-9,25-10,25-11,25-12,25-13,25-14,25-15,25-16,25-17,25-18,25-19,25-20,25-21,25-22,25-23,25-24,25-25,geometry
139,33077566,h140,29.02950068,-95.45274481,HOSPITAL,175,SENDER,120402,3.447217464,3.323745251,1576370,B,SENDER,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.84074234,1.84074234,1.744233634,1.478040996,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,1.328569488,POINT (-95.45274481 29.02950068)
140,188077584,h141,29.57290582,-95.38983333,HOSPITAL,40,,120402,8.732275009,17.26315308,1562460,C,SENDER,0.678143314,0.678143314,0.678143314,0.678143314,0.755703865,1.536212369,1.536212369,1.85683254,1.906835616,1.97851266,1.975220176,1.975141409,1.904972406,1.744523551,1.68923154,1.034323459,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,POINT (-95.38983333 29.57290582)
141,6277514,h142,29.7525574,-94.68744667,HOSPITAL,14,SENDER,120402,5.045572281,5.045571804,1524235,A,SENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-94.68744667 29.7525574)
142,57277665,h143,29.81969711,-94.37646869,HOSPITAL,25,SENDER,120402,4.508735657,7.54865551,1479499,B,SENDER,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,0.455181561,POINT (-94.37646869 29.81969711)
143,22277550,h144,29.31120096,-94.77715943,HOSPITAL,370,SENDER,120402,2.103548527,2.103548288,1569042,coastal,SENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-94.77715943 29.31120096)
144,33977573,h145,29.5068356,-95.10672113,HOSPITAL,88,SENDER,120402,4.438061714,4.314604282,1563174,A,SENDER,0.317758962,0.428494413,0.736439021,0.856233604,0.859030639,1.008634054,1.008634054,1.060015429,1.06272787,1.020607542,0.972929646,0.970760867,0.92541614,0.727458344,0.687535957,0.473158325,0.704043948,0.719284656,0.670736118,0.622352112,0.43043695,0.317758962,0.317758962,0.317758962,0.718979097,POINT (-95.10672113 29.5068356)
145,22177550,h146,29.3094949,-94.77699095,HOSPITAL,30,SENDER,120402,2.400525093,2.400524616,1569042,coastal,SENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-94.77699095 29.3094949)
146,51577591,h147,29.39408738,-94.98604898,HOSPITAL,223,SENDER,120402,4.178666115,4.946355343,1563914,A,SENDER,0.180625019,0.180625019,0.180625019,0.180625019,0.180625019,0.742568131,0.742568131,1.726795685,1.703634761,1.728656753,1.528140543,1.526098055,1.335889764,0.763046504,0.660806104,0.375348495,0.570684186,0.532285511,0.381741469,0.337352297,0.180625019,0.180625019,0.180625019,0.180625019,0.49521676,POINT (-94.98604898000001 29.39408738)
147,31375951,h148,30.90789453,-94.00955331,HOSPITAL,59,,120200,18.12119102,74.68913269,1110821,none,RECEIVER,2.216535505,2.198283788,2.198314591,2.198413846,2.198420691,2.418939526,2.418939526,2.198394166,2.1983993,2.198370208,2.198289778,2.198289778,2.198289778,2.198289778,2.198289778,2.198290633,2.198290633,2.198290633,2.539976403,2.85324238,3.6120757,4.393472753,4.408200678,4.323400653,3.041147619,POINT (-94.00955331 30.90789453)
30,138177070,h149,30.08734182,-94.13180847,HOSPITAL,431,OTHER,120401,5.573047638,6.075786591,1438277,none,RECEIVER,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,2.09176364,2.069783868,2.045246266,1.874130599,1.854773414,1.847067543,1.860263732,1.962146818,1.999011039,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,1.796813676,POINT (-95.55114453 29.96646877)
149,43577640,h150,29.93550203,-93.98953453,HOSPITAL,224,SENDER,120402,0.988556325,0.988555729,1477537,none,SENDER,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.093144266,1.101371495,1.184580754,1.706847531,1.826088273,1.769138837,1.566138672,1.476090266,1.368991162,1.536540246,1.538990987,1.352804287,1.093144266,POINT (-93.98953453 29.93550203)
150,52,h151,29.90942468,-93.92443983,HOSPITAL,227,SENDER,120402,1.584558368,1.584552407,1477725,none,SENDER,2.911003,3.000104003,3.02716105,2.971216387,2.968867499,2.976909663,2.976909663,3.067244884,3.081949102,3.096231179,3.159023024,3.16532762,3.182357979,3.258495239,3.281345655,4.068598803,11.15415249,11.92429988,13.92584044,13.96264473,14.01011546,12.45591814,12.51297511,10.18386613,10.71763969,POINT (-93.92443983 29.90942468)
151,40077627,h152,29.95559858,-93.98687658,HOSPITAL,48,SENDER,120402,3.12634778,3.126346827,1477429,none,RECEIVER,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,0.394365061,POINT (-93.98687658 29.95559858)
152,5277707,h153,30.08338278,-94.1398084,HOSPITAL,6,SENDER,120402,4.43160677,4.934348583,1475199,none,RECEIVER,0.622759366,2.770784152,2.952860662,2.419835404,2.383428168,1.564883285,1.564883285,1.897184586,1.885161588,1.932426299,1.985292461,2.003429808,2.007829408,2.177037136,2.236678764,3.223923459,3.772780647,3.875353588,2.748749026,2.070933758,2.130730773,2.55023782,2.60111851,2.852230945,0.826322594,POINT (-94.13980840000001 30.08338278)
153,143677706,h154,30.1121411,-94.16975617,HOSPITAL,17,SENDER,120402,2.203500748,7.680976391,1475141,none,SENDER,0.033827175,2.264263173,2.518566525,1.98655939,1.934954689,1.001627374,1.001627374,1.208114987,1.2888852,1.44937135,1.536739031,1.553602688,1.55819898,1.577436197,1.572263053,2.516976106,3.698231401,3.663563713,2.101916726,1.261094772,1.321709965,1.663029906,1.708614437,2.294171359,0.25537901,POINT (-94.16975617 30.1121411)
154,5377702,h155,30.08690903,-94.13221625,HOSPITAL,27,SENDER,120402,5.620681286,6.123420238,1475199,none,RECEIVER,0.622759366,2.770784152,2.952860662,2.419835404,2.383428168,1.564883285,1.564883285,1.897184586,1.885161588,1.932426299,1.985292461,2.003429808,2.007829408,2.177037136,2.236678764,3.223923459,3.772780647,3.875353588,2.748749026,2.070933758,2.130730773,2.55023782,2.60111851,2.852230945,0.826322594,POINT (-94.13221625 30.08690903)
155,4977702,h156,30.08725677,-94.13292786,HOSPITAL,51,SENDER,120402,5.572883606,6.075623512,1475199,none,RECEIVER,0.622759366,2.770784152,2.952860662,2.419835404,2.383428168,1.564883285,1.564883285,1.897184586,1.885161588,1.932426299,1.985292461,2.003429808,2.007829408,2.177037136,2.236678764,3.223923459,3.772780647,3.875353588,2.748749026,2.070933758,2.130730773,2.55023782,2.60111851,2.852230945,0.826322594,POINT (-94.13292786 30.08725677)
