variable,staging,sender,vehicle,patient,scenario,value
x_ij,a1,s025,v00,c,n16,6.0
x_ij,a1,s025,v00,n,n08,39.0
x_ij,a1,s025,v00,n,n09,39.0
x_ij,a1,s025,v00,n,n10,39.0
x_ij,a1,s025,v00,n,n11,39.0
x_ij,a1,s025,v00,n,n12,39.0
x_ij,a1,s025,v00,n,n13,39.0
x_ij,a1,s025,v00,n,n14,39.0
x_ij,a1,s025,v00,n,n15,39.0
x_ij,a1,s025,v00,n,n16,39.0
x_ij,a1,s026,v00,c,n08,3.0
x_ij,a1,s026,v00,c,n09,3.0
x_ij,a1,s026,v00,c,n10,3.0
x_ij,a1,s026,v00,c,n11,3.0
x_ij,a1,s026,v00,c,n12,3.0
x_ij,a1,s026,v00,c,n13,3.0
x_ij,a1,s026,v00,c,n14,3.0
x_ij,a1,s026,v00,c,n15,3.0
x_ij,a1,s026,v00,n,n08,23.0
x_ij,a1,s026,v00,n,n09,23.0
x_ij,a1,s026,v00,n,n10,23.0
x_ij,a1,s026,v00,n,n11,23.0
x_ij,a1,s026,v00,n,n12,23.0
x_ij,a1,s026,v00,n,n13,23.0
x_ij,a1,s026,v00,n,n14,23.0
x_ij,a1,s026,v00,n,n15,23.0
x_ij,a1,s027,v00,c,n04,5.0
x_ij,a1,s027,v00,c,n05,5.0
x_ij,a1,s027,v00,c,n06,5.0
x_ij,a1,s027,v00,c,n07,5.0
x_ij,a1,s027,v00,c,n08,5.0
x_ij,a1,s027,v00,c,n09,5.0
x_ij,a1,s027,v00,c,n10,5.0
x_ij,a1,s027,v00,c,n11,5.0
x_ij,a1,s027,v00,c,n12,5.0
x_ij,a1,s027,v00,c,n13,5.0
x_ij,a1,s027,v00,c,n14,5.0
x_ij,a1,s027,v00,c,n15,5.0
x_ij,a1,s027,v00,c,n16,5.0
x_ij,a1,s027,v00,n,n04,34.0
x_ij,a1,s027,v00,n,n05,34.0
x_ij,a1,s027,v00,n,n06,34.0
x_ij,a1,s027,v00,n,n07,34.0
x_ij,a1,s027,v00,n,n08,34.0
x_ij,a1,s027,v00,n,n09,34.0
x_ij,a1,s027,v00,n,n10,34.0
x_ij,a1,s027,v00,n,n11,34.0
x_ij,a1,s027,v00,n,n12,34.0
x_ij,a1,s027,v00,n,n13,34.0
x_ij,a1,s027,v00,n,n14,34.0
x_ij,a1,s027,v00,n,n15,34.0
x_ij,a1,s027,v00,n,n16,34.0
x_ij,a1,s029,v00,c,n11,1.0
x_ij,a1,s029,v00,c,n12,1.0
x_ij,a1,s029,v00,c,n13,1.0
x_ij,a1,s029,v00,c,n14,1.0
x_ij,a1,s029,v00,c,n15,1.0
x_ij,a1,s029,v00,n,n11,10.0
x_ij,a1,s029,v00,n,n12,10.0
x_ij,a1,s029,v00,n,n13,10.0
x_ij,a1,s029,v00,n,n14,10.0
x_ij,a1,s029,v00,n,n15,10.0
x_ij,a1,s030,v00,c,n06,2.0
x_ij,a1,s030,v00,c,n07,2.0
x_ij,a1,s030,v00,c,n08,2.0
x_ij,a1,s030,v00,c,n09,2.0
x_ij,a1,s030,v00,c,n10,2.0
x_ij,a1,s030,v00,c,n11,2.0
x_ij,a1,s030,v00,c,n12,2.0
x_ij,a1,s030,v00,c,n13,2.0
x_ij,a1,s030,v00,c,n14,2.0
x_ij,a1,s030,v00,c,n15,2.0
x_ij,a1,s030,v00,c,n16,2.0
x_ij,a1,s030,v00,n,n06,17.0
x_ij,a1,s030,v00,n,n07,17.0
x_ij,a1,s030,v00,n,n08,17.0
x_ij,a1,s030,v00,n,n09,17.0
x_ij,a1,s030,v00,n,n10,17.0
x_ij,a1,s030,v00,n,n11,17.0
x_ij,a1,s030,v00,n,n12,17.0
x_ij,a1,s030,v00,n,n13,17.0
x_ij,a1,s030,v00,n,n14,17.0
x_ij,a1,s030,v00,n,n15,17.0
x_ij,a1,s030,v00,n,n16,17.0
x_ij,a1,s031,v00,n,n13,6.0
x_ij,a1,s032,v00,c,n08,54.0
x_ij,a1,s032,v00,c,n09,54.0
x_ij,a1,s032,v00,c,n10,54.0
x_ij,a1,s032,v00,c,n11,54.0
x_ij,a1,s032,v00,c,n12,54.0
x_ij,a1,s032,v00,c,n13,54.0
x_ij,a1,s032,v00,c,n14,54.0
x_ij,a1,s032,v00,c,n15,54.0
x_ij,a1,s032,v00,n,n08,303.0
x_ij,a1,s032,v00,n,n09,303.0
x_ij,a1,s032,v00,n,n10,303.0
x_ij,a1,s032,v00,n,n11,303.0
x_ij,a1,s032,v00,n,n12,303.0
x_ij,a1,s032,v00,n,n13,303.0
x_ij,a1,s032,v00,n,n14,303.0
x_ij,a1,s032,v00,n,n15,303.0
x_ij,a1,s034,v00,c,n09,11.0
x_ij,a1,s034,v00,c,n10,11.0
x_ij,a1,s034,v00,c,n11,11.0
x_ij,a1,s034,v00,c,n12,11.0
x_ij,a1,s034,v00,c,n13,11.0
x_ij,a1,s034,v00,c,n14,11.0
x_ij,a1,s034,v00,n,n09,63.0
x_ij,a1,s034,v00,n,n10,63.0
x_ij,a1,s034,v00,n,n11,63.0
x_ij,a1,s034,v00,n,n12,63.0
x_ij,a1,s034,v00,n,n13,63.0
x_ij,a1,s034,v00,n,n14,63.0
x_ij,a1,s035,v00,c,n08,14.0
x_ij,a1,s035,v00,c,n09,14.0
x_ij,a1,s035,v00,c,n10,14.0
x_ij,a1,s035,v00,c,n11,14.0
x_ij,a1,s035,v00,c,n12,14.0
x_ij,a1,s035,v00,c,n13,14.0
x_ij,a1,s035,v00,c,n14,14.0
x_ij,a1,s035,v00,c,n15,14.0
x_ij,a1,s035,v00,n,n08,85.0
x_ij,a1,s035,v00,n,n09,85.0
x_ij,a1,s035,v00,n,n10,85.0
x_ij,a1,s035,v00,n,n11,85.0
x_ij,a1,s035,v00,n,n12,85.0
x_ij,a1,s035,v00,n,n13,85.0
x_ij,a1,s035,v00,n,n14,85.0
x_ij,a1,s035,v00,n,n15,85.0
x_ij,a1,s036,v00,c,n06,2.0
x_ij,a1,s036,v00,c,n07,2.0
x_ij,a1,s036,v00,c,n08,2.0
x_ij,a1,s036,v00,c,n09,2.0
x_ij,a1,s036,v00,c,n10,2.0
x_ij,a1,s036,v00,c,n11,2.0
x_ij,a1,s036,v00,c,n12,2.0
x_ij,a1,s036,v00,c,n13,2.0
x_ij,a1,s036,v00,c,n14,2.0
x_ij,a1,s036,v00,c,n15,2.0
x_ij,a1,s036,v00,c,n16,2.0
x_ij,a1,s036,v00,c,n17,2.0
x_ij,a1,s036,v00,c,n18,2.0
x_ij,a1,s036,v00,c,n19,2.0
x_ij,a1,s036,v00,c,n20,2.0
x_ij,a1,s036,v00,c,n21,2.0
x_ij,a1,s036,v00,n,n06,17.0
x_ij,a1,s036,v00,n,n07,17.0
x_ij,a1,s036,v00,n,n08,17.0
x_ij,a1,s036,v00,n,n09,17.0
x_ij,a1,s036,v00,n,n10,17.0
x_ij,a1,s036,v00,n,n11,17.0
x_ij,a1,s036,v00,n,n12,17.0
x_ij,a1,s036,v00,n,n13,17.0
x_ij,a1,s036,v00,n,n14,17.0
x_ij,a1,s036,v00,n,n15,17.0
x_ij,a1,s036,v00,n,n16,17.0
x_ij,a1,s036,v00,n,n17,17.0
x_ij,a1,s036,v00,n,n18,17.0
x_ij,a1,s036,v00,n,n19,17.0
x_ij,a1,s036,v00,n,n20,17.0
x_ij,a1,s036,v00,n,n21,17.0
x_ij,a1,s039,v00,c,n08,14.0
x_ij,a1,s039,v00,c,n09,14.0
x_ij,a1,s039,v00,c,n10,14.0
x_ij,a1,s039,v00,c,n11,14.0
x_ij,a1,s039,v00,c,n12,14.0
x_ij,a1,s039,v00,c,n13,14.0
x_ij,a1,s039,v00,c,n14,14.0
x_ij,a1,s039,v00,c,n15,14.0
x_ij,a1,s039,v00,c,n16,14.0
x_ij,a1,s039,v00,c,n17,14.0
x_ij,a1,s039,v00,c,n18,14.0
x_ij,a1,s039,v00,c,n19,14.0
x_ij,a1,s039,v00,c,n20,14.0
x_ij,a1,s039,v00,c,n21,14.0
x_ij,a1,s039,v00,c,n22,14.0
x_ij,a1,s039,v00,c,n23,14.0
x_ij,a1,s039,v00,c,n24,14.0
