,staging,sender,receiver,staging1,vehicleType,patientType,scenario,value
318,a1,s075,r316,a1,v00,n,n06,21
319,a1,s086,r128,a1,v00,n,n06,40
320,a1,s086,r139,a1,v00,n,n06,7
321,a1,s302,r324,a1,v00,n,n06,40
322,a1,s302,r293,a1,v00,n,n06,6
323,a1,s124,r393,a1,v00,n,n06,9
324,a1,s124,r283,a1,v00,n,n06,8
325,a1,s124,r367,a1,v00,n,n06,7
326,a1,s124,r212,a1,v00,n,n06,19
327,a1,s158,r206,a1,v00,n,n06,39
328,a1,s158,r211,a1,v00,n,n06,1
329,a1,s027,r025,a1,v00,c,n06,5
330,a1,s027,r025,a1,v00,n,n06,34
331,a1,s065,r467,a1,v00,n,n06,38
332,a1,s006,r061,a1,v00,c,n06,5
333,a1,s006,r061,a1,v00,n,n06,28
334,a1,s022,r029,a1,v00,c,n06,4
335,a1,s022,r029,a1,v00,n,n06,28
336,a1,s087,r469,a1,v00,n,n06,29
337,a1,s043,r061,a1,v00,c,n06,3
338,a1,s043,r061,a1,v00,n,n06,19
339,a1,s207,r368,a1,v00,n,n06,20
340,a1,s207,r310,a1,v00,n,n06,2
341,a1,s030,r028,a1,v00,c,n06,2
342,a1,s030,r028,a1,v00,n,n06,17
343,a1,s036,r061,a1,v00,c,n06,2
344,a1,s036,r061,a1,v00,n,n06,17
345,a1,s209,r211,a1,v00,n,n06,17
346,a1,s094,r294,a1,v00,n,n06,10
347,a1,s103,r310,a1,v00,n,n06,10
348,a1,s123,r364,a1,v00,n,n06,10
349,a1,s154,r176,a1,v00,n,n06,10
350,a1,s192,r386,a1,v00,n,n06,10
351,a1,s247,r238,a1,v00,n,n06,10
352,a1,s271,r444,a1,v00,n,n06,10
353,a1,s293,r338,a1,v00,n,n06,10
354,a1,s064,r152,a1,v00,n,n06,9
355,a1,s071,r337,a1,v00,n,n06,9
356,a1,s089,r242,a1,v00,n,n06,8
357,a1,s118,r194,a1,v00,n,n06,8
358,a1,s135,r227,a1,v00,n,n06,8
359,a1,s147,r372,a1,v00,n,n06,8
360,a1,s169,r266,a1,v00,n,n06,8
361,a1,s187,r293,a1,v00,n,n06,8
362,a1,s205,r399,a1,v00,n,n06,8
363,a1,s221,r416,a1,v00,n,n06,8
364,a1,s155,r387,a1,v00,n,n06,7
365,a1,s074,r174,a1,v00,n,n06,6
366,a1,s078,r139,a1,v00,n,n06,6
367,a1,s081,r168,a1,v00,n,n06,6
368,a1,s084,r327,a1,v00,n,n06,6
369,a1,s095,r322,a1,v00,n,n06,6
370,a1,s097,r285,a1,v00,n,n06,6
371,a1,s100,r312,a1,v00,n,n06,6
372,a1,s102,r196,a1,v00,n,n06,6
373,a1,s145,r379,a1,v00,n,n06,6
374,a1,s160,r243,a1,v00,n,n06,6
375,a1,s173,r299,a1,v00,n,n06,6
376,a1,s189,r339,a1,v00,n,n06,6
377,a1,s190,r372,a1,v00,n,n06,6
378,a1,s264,r265,a1,v00,n,n06,6
379,a1,s119,r234,a1,v00,n,n06,5
380,a1,s141,r297,a1,v00,n,n06,5
381,a1,s149,r285,a1,v00,n,n06,5
382,a1,s164,r219,a1,v00,n,n06,5
383,a1,s171,r266,a1,v00,n,n06,5
384,a1,s183,r399,a1,v00,n,n06,5
385,a1,s225,r416,a1,v00,n,n06,5
386,a1,s001,r033,a1,v00,n,n06,4
387,a1,s004,r033,a1,v00,n,n06,4
388,a1,s085,r337,a1,v00,n,n06,4
389,a1,s099,r238,a1,v00,n,n06,4
